from,to
Thomas Hitzlsperger,VfB Stuttgart 1893 AG
Stefan Heim,VfB Stuttgart 1893 AG
Stefan Heim,VfB Reha-Welt GmbH
Stefan Heim,Stadion NeckarPark GmbH & Co. KG
Stefan Heim,VfB Stuttgart Arena Betriebs GmbH
Stefan Heim,VfB Stuttgart Marketing GmbH
Stefan Heim,VfB Stuttgart Beteiligungs-GmbH
Stefan Heim,Württembergischen Fußballverbands
Jochen Röttgermann,VfB Stuttgart 1893 AG
Jochen Röttgermann,VfB Stuttgart Marketing GmbH
Oliver Schraft,VfB Stuttgart 1893 AG
Oliver Schraft,Deutschen Fußball Liga (DFL)
Claus Vogt,VfB Stuttgart 1893 e.V.
Claus Vogt,VfB Stuttgart 1893 AG
Wilfried Porth,VfB Stuttgart 1893 AG
Wilfried Porth,Daimler AG
Rainer Adrion,VfB Stuttgart 1893 AG
Dr. Bernd Gaiser,VfB Stuttgart 1893 e.V.
Dr. Bernd Gaiser,VfB Stuttgart 1893 AG.
Hartmut Jenner,VfB Stuttgart 1893 AG
Hartmut Jenner,Alfred Kärcher SE & Co. KG.
Hartmut Jenner,Alfred-Kärcher-Förderstiftung
Hartmut Jenner,Alfred Kärcher SE & Co. KG
Hermann Ohlicher,VfB Stuttgart 1893 AG
Franz Reiner,VfB Stuttgart 1893 AG
Franz Reiner,Daimler Mobility AG
Dr. Bertram Sugg,VfB Stuttgart 1893 AG
Dr. Bertram Sugg,Robert Bosch GmbH
